Timestamp,"Are you a student, employee, or faculty? ","Are you an on-campus resident, off-campus resident or do you commute (live with family)?","Did you, at any point since March 2020, consider withdrawing from classes or placing yourself on academic hold?",Are you a student athlete?,Have you been placed in quarantine/isolation at any point since March 2020?,How many times have you been placed in quarantine/isolation?,What academic year are you?,How many credits are you taking this semester,How effective do you believe wearing a mask is on limiting exposure/spreading of COVID-19?,"Please rate your learning experience, since March 2020, based on the following: [I felt safe while attending class in person.]","Please rate your learning experience, since March 2020, based on the following: [The topics in my classes were adequately taught and properly covered.]","Please rate your learning experience, since March 2020, based on the following: [I felt my personal freedoms were respected by Seton Hill.]","Please rate your learning experience, since March 2020, based on the following: [I felt as if Seton Hill cared for my Mental Health.]","Please rate your learning experience, since March 2020, based on the following: [I believe that Seton Hill Athletic's Return to Play had an impact on my safety on campus. ]","Overall, do you think that Seton Hill adequately responded to the pandemic"
2021/03/23 8:40:50 AM AST,Student,On-campus resident,No,Yes,No,0,Sophomore,18-Dec,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2021/03/23 8:41:06 AM AST,Student,Off-campus resident,No,Yes,No,0,Senior,18-Dec,2,Agree,Agree,Neutral,Neutral,Neutral,
2021/03/23 8:41:20 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,2,Strongly Agree,Agree,Neutral,Neutral,Neutral,
2021/03/23 8:41:52 AM AST,Student,On-campus resident,No,Yes,Yes,3,First Year,18-Dec,1,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,
2021/03/23 8:46:06 AM AST,Student,On-campus resident,No,Yes,Yes,3,First Year,18-Dec,4,Agree,Disagree,Disagree,Agree,Neutral,
2021/03/23 8:46:41 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,Sophomore,18-Dec,2,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,
2021/03/23 8:46:55 AM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,4,Agree,Agree,Neutral,Agree,Agree,
2021/03/23 8:48:47 AM AST,Student,On-campus resident,Yes,Yes,Yes,2-Jan,First Year,18-Dec,5,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,
2021/03/23 9:01:01 AM AST,Student,On-campus resident,No,Yes,No,0,Senior,18-Dec,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2021/03/23 10:22:13 AM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
2021/03/23 10:45:57 AM AST,Student,On-campus resident,No,Yes,No,0,Sophomore,18-Dec,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2021/03/23 11:20:01 AM AST,Student,Off-campus resident,No,Yes,No,0,Senior,18-Dec,2,Agree,Agree,Neutral,Neutral,Neutral,
2021/03/23 12:50:21 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,2,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
2021/03/23 2:08:57 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
2021/03/23 7:51:13 PM AST,Student,On-campus resident,Yes,Yes,Yes,2-Jan,First Year,18-Dec,5,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,
2021/03/23 8:24:25 PM AST,Student,On-campus resident,No,Yes,No,0,Sophomore,18-Dec,3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2021/03/25 9:04:53 AM AST,Student,On-campus resident,No,Yes,Yes,3,Sophomore,18-Dec,4,Agree,Neutral,Neutral,Disagree,Neutral,Yes
2021/03/25 9:28:12 AM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,More than 18,1,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Yes
2021/03/25 9:45:00 AM AST,Student,On-campus resident,No,Yes,No,0,Junior,18-Dec,4,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Yes
2021/03/25 10:08:02 AM AST,Student,On-campus resident,No,Yes,No,0,Sophomore,18-Dec,3,Agree,Disagree,Agree,Strongly Agree,Agree,Yes
